SN&Ph.,Serial_No,Parent_Serial_No,Status,Phase,Manufacturer,Manufacturer_Year,Model,Type,kV,mA,Watts,Capacitance,PF,PF_20,Corr_Fact,G_Ohm,layer,mA2,Watts2,File_Upload
508038_UATH3,75146028_UAT,508038_UAT,Energized,H3,ABB,2008,PEXLIMQ096-XH123,-,96,0.15,63,48.29,4.2,4.2,10,199.9,1,-,-,-
508038_UATX1,75146029_UAT,508038_UAT,Energized,X1,ABB,2008,PEXLIMQ024-XV024,-,24,0.358,221,115.05,6.173,6.173,-,75,1,-,-,-
508038_UATX2,75146029_UAT,508038_UAT,Energized,X2,ABB,2008,PEXLIMQ024-XV024,-,24,0.36,225,115.05,6.25,6.25,-,66.5,1,-,-,-
508038_UATX3,75146031_UAT,508038_UAT,Energized,X3,ABB,2008,PEXLIMQ024-XV024,-,24,0.357,217,114.46,6.078,6.078,-,64,1,-,-,-
508038_UATX0,75146032_UAT,508038_UAT,Energized,X0,ABB,2008,PEXLIMQ024-XV024,-,24,0.358,223,114.84,6.229,6.229,-,55,1,-,-,-
510049H1,75181804,510049,Energized,H1,ABB,2011,PEXLIM Q192-XH245,RESIN,192,0.17,59,-,-,-,10,-,1,-,-,1568109651-Capture.JPG
510049H2,75181805,510049,Energized,H2,ABB,2011,PEXLIM Q192-XH245,RESIN,192,0.16,41.11,-,-,-,10,-,1,-,-,1568109681-Capture.JPG
510049H3,75181806,510049,Energized,H3,ABB,2011,PEXLIM Q192-XH245,RESIN,192,0.17,199.16,-,-,-,10,-,1,-,-,1568113794-Capture.JPG
510049X1,75181807,510049,Energized,X1,ABB,2011,PEXLIM Q108-XH123,RESIN,108,0.18,861.09,-,-,-,10,-,1,-,-,1568111002-Capture2.JPG
510049X2,75181808,510049,Energized,X2,ABB,2011,PEXLIM Q108-XH123,RESIN,108,0.18,872.4,-,-,-,10,-,1,-,-,1568113761-Capture2.JPG
510049X3,75181809,510049,Energized,X3,ABB,2011,PEXLIM Q108-XH123,RESIN,108,0.17,858.19,-,-,-,10,-,1,-,-,1568113769-Capture2.JPG
512033X1,75207683,512033,Energized,X1,ABB,2012,-,EXLIM Q024-EV036,24,0.4,234.03,-,-,-,-,-,1,-,-,-
512033X2,75207684,512033,Energized,X2,ABB,2012,-,EXLIM Q024-EV036,24,0.4,238,-,-,-,-,-,1,-,-,-
512033X3,75207685,512033,Energized,X3,ABB,2012,-,EXLIM Q024-EV036,24,0.41,238.97,-,-,-,-,-,1,-,-,-
512033H1,75208178,512033,Energized,H1,ABB,2012,-,EXLIM Q108-EH123,96,0.15,73.94,-,-,-,-,-,1,-,-,1517388512-Power-Transformer.jpg
512033H2,75208179,512033,Energized,H2,ABB,2012,-,EXLIM Q108-EH123,10,0.15,74.27,27.26,7.001,7.001,-,-,1,-,-,-
512033H3,75208180,512033,Energized,H3,ABB,2012,-,EXLIM Q108-EH123,10,0.15,83.39,27.52,7.118,7.118,-,-,1,-,-,-
512033H0,75208181,512033,Energized,H0,ABB,2012,-,EXLIM Q108-EH123,10,29.25,0.092,0.062,6.751,6.751,1,414,1,-,-,-
54001H1,75308769,54001,Energized,H1,ABB,2019,PEXLIM Q096-YH123,RIP,96,0.16,520,-,-,-,65,-,1,-,-,1584086435-Capture2.JPG
54001H2,75308770,54001,Energized,H2,ABB,2019,PEXLIM Q096-YH123,RIP,96,0.15,497,-,-,-,65,-,1,-,-,1584086440-Capture2.JPG
54001H3,75308771,54001,Energized,H3,ABB,2019,PEXLIM Q096-YH123,RIP,96,0.13,485,-,-,-,65,-,1,-,-,1584086553-Capture2.JPG
54001H0,75308772,54001,Energized,H0,ABB,2019,PEXLIM Q096-YH123,RIP,96,0.15,462,-,-,-,65,-,1,-,-,1584086689-Capture2.JPG
54001X1,75308773,54001,Energized,X1,ABB,2019,PEXLIM Q030-YV036,RIP,30,58.23,1408,-,-,-,10,-,1,-,-,1584325512-Arrester.JPG
54001X2,75308774,54001,Energized,X2,ABB,2019,PEXLIM Q030-YV036,RIP,30,58.25,1415,-,-,-,10,-,1,-,-,1584328632-Arrester.JPG
54001X3,75308775,54001,Energized,X3,ABB,2019,PEXLIM Q030-YV036,RIP,30,58.29,1490,-,-,-,10,-,1,-,-,1584328637-Arrester.JPG
4710345H3,8160008,4710345,Energized,H3,ABB,-,-,-,-,0.06,46.36,-,-,-,10,181,2,0.18,106.95,-
4710345H2,8160009,4710345,Energized,H2,ABB,-,-,-,-,0.06,48.47,-,-,-,10,206,2,0.17,112.82,-
4710345H1,8160010,4710345,Energized,H1,ABB,-,-,-,-,0.06,42.74,-,-,-,10,224,2,0.17,103.93,-
PT3W67000/123H1,8160011,PT3W67000/123,Energized,H1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PT3W67000/123H2,8160012,PT3W67000/123,Energized,H2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PT3W67000/123H3,8160013,PT3W67000/123,Energized,H3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
615007H1,8160014,615007,Energized,H1,ABB,1994,-,-,76.21,0.03,10.67,-,-,-,-,-,2,0.09,26.58,-
4710350H1,8160017,4710350,Energized,H1,ABB,1994,EXLIMR132-AH123,OIP,132,0.06,71.53,-,-,-,10,-,2,0.17,135.52,-
