Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,A_O2,A_N2,A_CO2,A_CO,A_H2,A_CH4,A_C2H2,A_C2H4,A_C2H6,A_C3H6,A_C3H8,A_BD,A_WC,A_PF_25,A_PF_100,A_Test_Result,B_O2,B_N2,B_CO2,B_CO,B_H2,B_CH4,B_C2H2,B_C2H4,B_C2H6,B_C3H6,B_C3H8,B_BD,B_WC,B_PF_25,B_PF_100,B_Test_Result,C_O2,C_N2,C_CO2,C_CO,C_H2,C_CH4,C_C2H2,C_C2H4,C_C2H6,C_C3H6,C_C3H8,C_BD,C_WC,C_PF_25,C_PF_100,C_Test_Result
9724076,2018-01-11 00:00:00,-,Ekkarach W.,,FOCUS LAB,,81801090,"12M_81,82,83",,-,-,-,-,23763,66743,819,117,596,35,317,33,22,15,27,53.5,17.8,0.015,0.563,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
SuperMeng,2017-12-19 00:00:00,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,D2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,T2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,PD
20083122TIC008,2017-12-06 00:00:00,,IEC,,TIS,GLOW,,"6M_81,82",,,,,,20367,56157,1932,246,23,4,0,11,0,5,8,53,18,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
4711343,2017-12-06 00:00:00,,Ekkarach W.,Jirasak S.,FOCUS LAB,GLOW-CMT,81712096,6M,,,31,,,27070,62213,438,9,6,3,70,7,2,6,8,62,17.6,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PTE 1689/01,2017-11-22 00:00:00,,Mr.Ekkarach W.,"Mr,Pimchart Promkhandee","TIS Engineering and Service Co.,Ltd.",ENGIE GLOW,,,,32,36,,51,10171,52222,2075,263,5241,423,2698,365,115,3,74,68,30,,,NORMAL,11413,47606,2137,247,3914,338,2234,323,102,3,68,71,30,,,NORMAL,0,0,0,0,0,0,0,0,0,0,0,74,0,,,NORMAL
PTE 1689/04,2017-11-22 00:00:00,,Ekkarach W.,Jirasak Susakun,FOCUS LAB,ENGIE GLOW,,,,31,33,,58,8508,49490,2928,453,3996,334,1923,311,95,14,56,55,38,0.012,1.272,NORMAL,16983,69827,2800,375,2639,284,1790,293,81,13,58,49,40,0.011,1.283,NORMAL,20151,83409,2535,351,1805,229,1671,256,56,3,79,42,43,0.009,1.004,NORMAL
20083122TIC003,2017-11-21 00:00:00,-,Ekkarach W.,-,FOCUS LAB,GLOW,81711213,"6M_81,82",2017-12-06 00:00:00,32,-,-,-51,14339,60560,3657,600,65,15,25,52,5,32,35,57.2,21.8,-,-,NORMAL,18873,59594,2962,379,41,10,17,35,4,29,32,52,17.6,-,-,NORMAL,20222,56557,2621,299,31,8,15,37,3,27,29,48.8,19.2,-,-,NORMAL
54002,2017-09-28 00:00:00,,,,,,,,,,,,,21126,57356,1064,78,120,120,11,16,4,1,4,46.50,41,0.011,1.006,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
56016,2017-08-17 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,21911,49592,1136,50,657,139,3872.0,332,11,4,127,34,40,0.020,1.14,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0284B01,2017-08-17 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,25176,60691,1017,49,3,2,0.0,69,5,2,7,51,16,0.021,1.17,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0285B01,2017-08-17 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,25727,59675,810,31,5,3,0.0,38,4,2,1,51,13,0.017,0.81,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2017-08-16 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,12091,49767,134,438,6873,775,1409.0,693,52,7,185,59,5,0.025,1.93,NORMAL,,,,,,,,,,,,,,,,,12091,,,,,,,,,,,,,,,
EDP018401,2017-08-16 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,7818,51118,315,547,8393,1025,1560.0,854,69,11,222,52,6,0.017,1.38,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0041B01,2017-08-16 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,5263,51392,488,637,6249,1478,6058,1507,191,15,343,54,6,0.257,6.28,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0091B01,2017-08-16 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,13511,49520,1582,370,142,10,13.0,10,1,2,2,61,14,0.010,0.74,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2017-08-15 00:00:00,,Mr.Ekkarach W.,Mr.Parkpoom K.,FOCUS LAB,GLOW,-,-,,-,39,-,-,12091,49767,134,438,6873,775,1409,693,52,7,185,59.2,4.1,0.05,1.925,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
4711343,2017-07-28 00:00:00,,Ekkarach W.,,FOCUS LAB,,81707291,6M,,,35,,,20389,20389,247,4,4,1,4,3,0,2,2,50.5,18.9,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PTE 1689/02,2017-07-21 00:00:00,,Ekkarach W.,Metee Mechitti,FOCUS LAB,ENGIE GLOW,,,,30.1,32,,64.8,25801,62977,564,39,306,20,328,32,6,4,18,24,28,0.001,0.206,NORMAL,24578,58786,567,30,299,18,300,30,6,6,2,25,28,0.001,0.210,NORMAL,24777,58239,580,36,259,19,314,33,6,6,19,24,28,0.001,0.229,NORMAL
9724074,2017-07-18 00:00:00,,Ekkarach W.,,FOCUS LAB,,81707191,"6M_81,82",,,,,,13611,41489,227,31,181,9,110,9,0,3,0,43.5,22.7,0.018,0.626,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
T012006,2017-07-13 00:00:00,,Ekkarach W.,,FOCUS LAB,,-,-,,-,-,-,-,10101,31861,125,14,1258,88,78,113,3,0,54,62.4,15.01,0.037,0.58,NORMAL,9128,33173,564,149,11994,1297,6181,1105,100,6,201,55.8,20.7,0.027,0.971,NORMAL,7551,31910,499,127,11099,1255,6298,1096,107,6,200,59.9,17.4,0.021,0.723,NORMAL
T012023,2017-07-13 00:00:00,,Ekkarach W.,,FOCUS LAB,,-,-,,-,34,-,-,11266,41124,1479,293,9579,1634,8707,1548,139,9,186,55.9,16,0.014,0.786,NORMAL,12376,39595,1585,373,13492,2172,10977,1886,180,9,322,51.2,18.5,0.02,0.896,NORMAL,4246,35531,1895,401,14402,2790,14266,2454,255,12,414,51.5,22.4,0.032,1.083,NORMAL
20083122TIC008,2017-05-22 00:00:00,,Ekkarach W.,Jirasak C.,FOCUS LAB,GLOW,81905016,"6M_81,82",,32,38,-,63,27319,78246,1874,222,21,4,0,6,1,1,5,70,19.9,0.011,0.577,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PTE 1689/04,2017-05-18 00:00:00,,Ekkarach W.,,FOCUS LAB,,,,,,41,,,19042,88422,2548,396,2228,253,1781,271,71,3,81,40,39,0.009,1.041,NORMAL,15896,68870,2547,389,2474,237,1729,257,54,3,80,63,41,0.008,1.030,NORMAL,20151,83409,2535,351,1805,229,1671,256,56,3,79,42,43,0.009,1.004,NORMAL
PTE 1689/01,2017-05-15 00:00:00,Test WO100001,"Focus Lab, CR/CS",REI,,,,,,38,52,63,49,5088,32002,1620,188,3898,305,2367,308,80,2,0,22,30,,,NORMAL,9713,40820,1782,200,2968,254,2041,276,72,2,70,29,32,,,NORMAL,14968,64887,1789,148,2851,271,2171,295,74,2,74,21,32,,,NORMAL
TP70279703,2017-04-26 00:00:00,81704106,Ekkarach W.,,FOCUS LAB,,,,,,38,,,2884,25789,71,62,23095,10423,2990,15515,9545,109,1640,57,3,,,NORMAL,7737,41302,86,102,18727,11888,234,20558,15803,131,2208,57,3,,,NORMAL,8185,42513,72,97,20107,13133,71,20285,22699,148,2329,58,3,,,NORMAL
508038,2017-02-15 00:00:00,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,,,,,,,,23551,54593,445,26,23,6,9,11,0,8,11,62.4,21.2,0.005,0.71,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,0.005,0.71,NORMAL
54002,2017-02-15 00:00:00,,,,,,,,,,,,,18310,47356,464,24,45,4,4,7,0,3,7,61.60,30,0.009,0.735,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
56016,2017-02-03 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,33502,94243,1073,41,403,103,335.0,254,3,3,96,32,32,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0284B01,2017-02-03 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,31512,84989,1013,59,3,2,0.0,74,5,3,7,53,16,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0285B01,2017-02-03 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,31448,77086,796,36,0,2,0.0,36,4,3,2,60,12,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2017-02-02 00:00:00,,Mr.Ekkarach W.,Mr.Parkpoom K.,FOCUS LAB,GLOW,-,-,,-,41,-,-,15971,55546,122,434,6269,615,122,574,21,7,182,58.1,4.1,0.05,1.488,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
EDP004301,2017-02-02 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,15971,55546,122,434,6269,615,122.0,574,21,7,182,58,5,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP018401,2017-02-02 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,14295,65537,279,554,6364,815,141.0,740,32,11,226,52,4,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0041B01,2017-02-02 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,15327,57577,235,437,2990,1154,509.0,1232,47,14,333,67,4,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0091B01,2017-02-02 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,17928,59915,1492,356,101,9,0.0,10,0,0,4,75,10,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T012023,2017-01-30 00:00:00,,Ekkarach W.,,FOCUS LAB,,-,-,,-,33,-,-,15315,49799,1268,265,10518,265,869,1282,40,7,245,35,14.9,-,-,NORMAL,12376,55347,1590,406,13524,1915,1159,1723,28,9,349,35.1,17.1,-,-,NORMAL,8006,51635,1804,474,16970,2357,1389,2054,44,10,393,50,20.7,-,-,NORMAL
T012006,2017-01-09 00:00:00,,Ekkarach W.,,FOCUS LAB,,-,-,,-,-,-,-,10145,33688,125,14,1258,88,78,113,3,0,54,69.7,13.7,-,-,NORMAL,6285,20200,126,22,2194,101,91,113,3,0,48,65.8,15.1,-,-,NORMAL,9963,35167,138,21,2175,111,101,116,2,0,49,66.8,16.7,-,-,NORMAL
T012006,2017-01-09 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,10145,33688,125,14,1258,88,78.0,113,3,0,54,69,14,-,-,NORMAL,3285,20200,126,22,2194,101,91.0,113,3,0,48,66,16,-,-,NORMAL,9963,35167,138,21,2175,111,101.0,116,2,0,49,67,17,-,-,NORMAL
54002,2016-12-19 00:00:00,,,,,,,,,,,,,17770,52509,366,16,19,2,2,4,0,6,11,45,30,0.009,0.735,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
20083122TIC008,2016-12-13 00:00:00,,Mr. Ekkarach W.,Mr. Methee M.,FOCUS LAB,GLOW,81810155,"12M_81, 82, 83",,33.5,-,-,63,22022,60297,2045,279,34,5,0,6,1,3,6,69.9,17,-,-,NORMAL,22022,60297,2045,279,34,-,-,6,-,3,6,-,-,-,-,NORMAL,22022,60297,2045,279,34,-,-,6,-,3,6,-,-,-,-,NORMAL
4711343,2016-12-08 00:00:00,,Ekkarach W.,,FOCUS LAB,,81612044,6M,,,33,,,28521,63736,1291,44,31,12,336,60,3,6,35,75,21.5,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PTE 1689/02,2016-11-28 00:00:00,81611233,Mr.Ekkarach W.,,FOCUS LAB,,,,,32.3,37,,54.5,15156,61498,1266,154,1071,115,903,126,4,9,44,31,29,,,NORMAL,14866,58123,1364,162,1084,110,832,121,4,9,8,33,30,,,NORMAL,10847,43074,1239,146,1025,108,849,120,4,9,8,32,29,,,NORMAL
PTE 1689/03,2016-11-28 00:00:00,,Mr.Ekkarach W.,,FOCUS LAB,,,,,32.5,42,,52.4,11729,54310,1445,188,1547,191,1295,195,7,11,3,50,30,,,NORMAL,8817,39482,1601,224,1448,167,1141,185,7,12,11,48,29,,,NORMAL,23701,95413,1592,198,1038,158,1125,180,7,11,3,34,29,,,NORMAL
PTE 1689/04,2016-11-28 00:00:00,,Mr.Ekkarach W.,Mr.Jirasak Suksakun,FOCUS LAB,ENGIE GLOW,,,,31,48,45,58,21741,93713,2143,322,1128,136,874,157,5,11,11,60,37,0.009,1.041,NORMAL,13804,55114,2047,296,1080,116,775,139,5,11,11,47,38,0.008,1.03,NORMAL,12653,56455,2130,330,1178,124,777,144,5,11,12,66,38,0.009,1.004,NORMAL
PTE 1689/04,2016-11-28 00:00:00,,,,,,,,,,,,,21741,93713,2143,322,1128,136,874,157,5,11,11,60,37,0.009,1.041,NORMAL,13804,55114,2047,296,1080,116,775,139,5,11,11,47,38,0.008,1.03,NORMAL,12653,56455,2130,330,1178,124,777,144,5,11,12,66,38,0.009,1.004,NORMAL
EDP004301,2016-11-25 00:00:00,,Mr.Ekkarach W.,Mr.Parkpoom K.,FOCUS LAB,GLOW,-,-,,-,35,-,-,14331,52376,128,410,5445,560,729,527,24,6,170,54.1,5.1,0.05,1.488,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
56016,2016-11-24 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,24836,57708,1086,56,339,90,2085.0,221,4,3,90,43,30,0.018,1.15,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2016-11-24 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,14331,52376,128,410,5445,560,729.0,527,24,6,170,54,6,0.050,1.49,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP018401,2016-11-24 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,21764,93348,336,508,4103,739,980.0,723,35,11,211,67,5,0.017,0.88,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0041B01,2016-11-24 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,16524,78925,217,549,5277,1250,2671.0,1084,54,14,313,66,8,0.260,7.90,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0091B01,2016-11-24 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,13398,48923,1398,321,111,9,3.0,10,0,4,6,66,11,0.009,0.57,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0284B01,2016-11-24 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,19626,45096,817,46,0,0,0.0,63,4,3,7,66,16,0.015,0.76,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0285B01,2016-11-24 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,27188,62510,794,46,0,2,0.0,38,4,3,6,71,7,0.012,0.63,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508038,2016-09-30 00:00:00,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,,,,,,,,62088,204362,983,22,11,4,90,19,0,6,16,36.5,25.7,0.005,0.71,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
54002,2016-09-30 00:00:00,,,,,,,,,,,,,23308,59982,1783,177,129,14,82,18,0,0,8,25.7,42.5,0.009,0.735,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
4711343,2016-07-11 00:00:00,,Ekkarach W.,Jirasak S.,FOCUS LAB,GLOW-CMT,81607073,6M,,,34,,,43755,107683,793,104,95,13,223,30,1,1,4,64.7,18.8,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
54001,2016-06-23 00:00:00,,,,FOCUS LAN,ENGIE-GLOW,,,,,,,,28241,82784,994,53,99,3,3,1,0,4,9,43,27,0.001,0.05,NORMAL,28241,82784,994,53,99,3,3,1,0,4,9,43,27,0.001,0.05,NORMAL,28241,82784,994,53,99,3,3,1,0,4,9,43,27,0.001,0.05,NORMAL
20083122TIC003,2016-06-22 00:00:00,-,Ekkarach W.,-,FOCUS LAB,GLOW,"81606171,72,73","6M_81,82",2016-06-22 00:00:00,-,-,-,-,17700,74119,3508,602,73,25,73,47,4,9,28,74.8,17.6,-,-,NORMAL,61181,19973,2757,366,47,14,44,33,3,7,23,54.1,18,-,-,NORMAL,302015,94526,2540,281,28,12,39,33,3,7,23,73.2,18.1,-,-,NORMAL
20083122TIC008,2016-06-22 00:00:00,,Ms.Klednatee P.,Mr.Jirasak S.,IEC,GPSC,,,,,,,,31082,86458,1827,197,18,5,0,6,1,5,9,46,18,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
56016,2016-06-15 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,28538,70144,1083,44,466,85,1954.0,179,6,2,67,47,30,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0284B01,2016-06-15 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,27489,63461,929,52,0,52,0.0,62,5,8,11,47,15,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2016-06-14 00:00:00,,Mr.Ekkarach W.,Mr.Parkpoom K.,FOCUS LAB,GLOW,-,-,,-,47,-,-,14512,56026,134,438,4907,534,907,547,23,6,138,63.8,6.1,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
508038,2016-03-16 00:00:00,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,,,,,,,,36770,93668,979,32,7,5,105,20,0,3,13,55.4,26.3,0,0,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
54002,2016-03-16 00:00:00,-,,,,,,,,,,,,24836,63992,1426,129,116,10,64,13,0,2,9,73.90,40.40,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
56016,2016-02-09 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,15077,48806,802,19,9,40,1319.0,121,3,0,32,40,21,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2016-02-09 00:00:00,,IEC,,,,-,-,,-,45,-,-,21543,302,58152,157,290,125,492,506,24,0,82,48.2,11.36,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
EDP004301,2016-02-09 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,21543,58152,302,157,290,125,492.0,506,24,0,82,48,12,0.000,0.00,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP018401,2016-02-09 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,17531,40183,402,488,269,150,324.0,406,32,0,76,35,15,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0041B01,2016-02-09 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,22106,18121,256,278,525,149,1045.0,656,10,0,82,37,14,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0091B01,2016-02-09 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,23194,48626,985,135,10,15,2.0,12,0,0,0,38,11,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0284B01,2016-02-09 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,14919,49494,781,25,2,2,0.0,56,0,0,0,53,9,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0285B01,2016-02-09 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,15106,50007,663,32,27,2,0.0,26,18,0,0,53,10,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP004301,2016-01-14 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,14512,56026,134,438,4907,534,907.0,547,23,6,138,64,7,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP018401,2016-01-14 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,15922,72872,318,524,4448,629,1008.0,651,31,10,172,68,7,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0041B01,2016-01-14 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,12054,53302,170,457,3547,953,2656.0,900,45,12,254,66,11,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0091B01,2016-01-14 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,16263,55698,1416,324,106,9,4.0,10,0,0,4,51,12,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20083122TIC003,2015-09-07 00:00:00,-,IEC,-,TIS,GLOW,-,"6M_81,82",2015-09-07 00:00:00,-,-,-,-,27572,63211,2329,285,520,45,427,72,0,0,10,32.96,12.85,-,-,NORMAL,27793,35821,2246,126,534,22,297,60,0,0,10,39.4,12.74,-,-,NORMAL,54974,20791,2053,285,301,35,208,102,0,0,14,35.8,14.3,-,-,NORMAL
20083122TIC008,2015-09-07 00:00:00,,Ekkarach W.,Pimchart P.,FOCUS LAB,GLOW,81803221,"6M_81,82",,,,,,49641,23510,2045,331,312,21,294,41,0,12,0,39.18,16.61,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
EDP004301,2015-07-21 00:00:00,,IEC,,,,,,,,52,,,16103,46838,221,156,356,64,519,390,81,0,82,43.14,9.88,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
PP0284B01,2015-07-21 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,15328,45115,706,62,5,5,0.0,50,24,0,0,52,12,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0285B01,2015-07-21 00:00:00,,Kladnatee P.,Jirasak S.,IEC,GPSC,,,,,,,,12948,55735,657,43,14,2,0.0,31,21,0,0,52,11,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508038,2015-07-09 00:00:00,,IEC,,TIS,,,,,,,,,40698,54964,1355,88,123,0,329,52,7,0,11,40.26,21.75,0,0,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
54002,2015-07-09 00:00:00,,,,,,,,,,,,,28790,68445,1189,244,285,20,286,49,9,5,28,38.30,38.30,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NORMAL
EDP004301,2015-01-21 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,16103,46838,221,156,356,64,519.0,390,81,0,38,43,10,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDP018401,2015-01-21 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,15556,47055,351,568,326,183,205.0,425,36,0,84,51,13,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0041B01,2015-01-21 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,18779,44331,234,345,607,125,854.0,588,12,0,75,42,9,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP0091B01,2015-01-21 00:00:00,,Kittisak S.,Jirasak S.,IEC,GPSC,,,,,,,,19817,40748,1088,285,12,13,0.0,16,0,0,0,42,11,-,-,NORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20083122TIC003,2015-01-08 00:00:00,-,IEC,-,TIS,GLOW,-,"6M_81,82",2015-01-08 00:00:00,-,-,-,-,19941,59424,2003,290,318,37,324,78,4,2,10,53.5,13.35,-,-,NORMAL,21843,31260,2251,169,426,25,229,52,4,0,14,53.22,11.74,-,-,NORMAL,18249,59680,2020,274,227,23,223,86,0,1,13,53.96,14.85,-,-,NORMAL
